Direction,District,Elevator,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,Year
东西,灯市口,,6,锡拉胡同21号院,101102647043,3室1厅,780,东城,精装,75.0,1988
南北,东单,无电梯,6,东华门大街,101102650978,2室1厅,705,东城,精装,60.0,1988
南西,崇文门,有电梯,16,新世界中心,101102672743,3室1厅,1400,东城,其他,210.0,1996
南,崇文门,,7,兴隆都市馨园,101102577410,1室1厅,420,东城,精装,39.0,2004
南,陶然亭,有电梯,19,中海紫御公馆,101102574696,2室2厅,998,东城,精装,90.0,2010
南北,广渠门,有电梯,18,幸福家园二期,101102407993,2室1厅,1180,东城,其他,111.0,2003
南,西罗园,无电梯,6,西革新里110号院,101102629841,1室1厅,319,东城,其他,42.0,1992
南,西罗园,有电梯,16,建予园,101102378003,2室1厅,640,东城,其他,105.0,1999
南北,东花市,有电梯,9,富贵园一区,101102345859,3室2厅,1780,东城,精装,161.0,2003
东北,东直门,有电梯,25,万国城MOMA,101102070529,2室2厅,1300,东城,精装,127.0,2002
南,工体,无电梯,5,十字坡东里,101102599410,1室1厅,405,东城,精装,37.0,1986
南,地安门,无电梯,5,帽儿胡同45号院,101102516190,2室1厅,700,东城,其他,50.0,1985
西,广渠门,有电梯,19,金桥国际,101102620368,1室1厅,462,东城,精装,54.0,2004
西,崇文门,有电梯,18,太华公寓,101102624056,1室0厅,518,东城,精装,64.0,2000
西南,菜户营,有电梯,23,信德园,101102691675,3室1厅,960,西城,其他,146.0,2002
东,木樨地,无电梯,4,西便门外大街,101102653830,2室0厅,457,西城,简装,50.0,1957
西北,马甸,,18,双旗杆东里,101102570446,2室1厅,610,西城,简装,58.0,1986
北,马连道,有电梯,18,第三区,101102583180,2房间2卫,340,西城,精装,33.0,2011
西南,六铺炕,有电梯,17,六铺炕二区,101102306094,3室1厅,1120,西城,其他,78.0,1990
北,广安门,有电梯,26,荣丰2008,101101718499,1室0厅,320,西城,精装,28.0,2006
南北,牛街,有电梯,12,平原里小区,101102532889,2室1厅,596,西城,简装,59.0,1999
南北,木樨地,有电梯,18,真武庙六里,101102454060,2室1厅,888,西城,精装,78.0,1988
西北,右安门内,无电梯,7,右安门内大街,101102089935,1室1厅,405,西城,其他,45.0,1991
南北,西直门,无电梯,6,玉桃园二区,101102528745,2室1厅,650,西城,简装,60.0,1997
南北,马连道,无电梯,7,红莲南里,101102625441,2室1厅,470,西城,精装,61.0,1992
南,牛街,,6,白广路6号院,101102562685,3室0厅,635,西城,简装,84.0,1955
西,亚运村小营,有电梯,7,育慧里一区,101102161792,1室0厅,343,朝阳,精装,52.0,2001
南北,望京,有电梯,10,大西洋新城A区,101102387406,2室2厅,835,朝阳,精装,86.0,1999
东西,团结湖,无电梯,6,团结湖路,101102395918,2室1厅,430,朝阳,精装,65.0,1980
南北,三元桥,有电梯,12,尚家楼48号院,101102691041,2室1厅,610,朝阳,精装,75.0,1998
南北,望京,无电梯,6,望京西园一区,101102484521,3室2厅,710,朝阳,精装,115.0,1997
南西南,亚运村,有电梯,20,安慧里四区,101102542167,2室2厅,545,朝阳,精装,71.0,1990
南北,朝阳公园,有电梯,18,泰华滨河苑,101102257420,2室1厅,670,朝阳,精装,105.0,2005
南北,望京,有电梯,17,北京香颂,101102022906,3室2厅,1200,朝阳,简装,146.0,2009
南北,豆各庄,无电梯,6,京城雅居,101102430288,3室2厅,1295,朝阳,精装,259.0,2004
西南西北,亚运村小营,有电梯,19,一瓶四和院,101102236046,5室2厅,1500,朝阳,精装,151.0,2009
西南,四惠,有电梯,32,东恒时代一期,101102194563,3室2厅,930,朝阳,精装,142.0,2003
东西,北苑,有电梯,11,润泽悦溪,101102242404,2室1厅,665,朝阳,简装,86.0,2010
东西,潘家园,无电梯,6,潘家园小区,101102292255,3室1厅,490,朝阳,简装,83.0,1994
西南,十里堡,有电梯,27,东恒时代三期,101101796327,2室2厅,720,朝阳,精装,108.0,2008
南北,太阳宫,有电梯,25,红玺台,101102409723,3室2厅,2400,朝阳,精装,161.0,2011
西,双井,有电梯,22,九龙花园,101102315128,2室2厅,720,朝阳,其他,109.0,2001
南北,高碑店,,6,兴隆家园,101102553280,3室1厅,696,朝阳,精装,116.0,2000
南北,北苑,,14,北苑家园望春园,101102528200,2室1厅,680,朝阳,精装,108.0,2006
西,四惠,有电梯,14,远洋天地三期,101102158016,1室1厅,580,朝阳,精装,73.0,2004
东南,甜水园,有电梯,22,华阳家园,101102377589,2室1厅,865,朝阳,精装,115.0,2002
南北,华威桥,,18,双龙南里,101102330970,3室1厅,409,朝阳,简装,72.0,1993
南北,亚运村,有电梯,13,华馨公寓,101102484217,3室2厅,1350,朝阳,简装,176.0,1999
南,亚运村,,17,名人公寓,101102598253,4室2厅,2000,朝阳,精装,379.0,2002
东北,双井,有电梯,22,双花园南里一区,101102243227,3室1厅,790,朝阳,精装,138.0,2000
南,望京,有电梯,28,融科橄榄城二期,101102139571,2室1厅,1000,朝阳,精装,95.0,2007
南北,芍药居,无电梯,7,芍药居2号院,101102158682,3室2厅,960,朝阳,精装,137.0,1999
东,惠新西街,有电梯,25,罗马花园,101101485359,3室1厅,980,朝阳,精装,164.0,1995
南北,四惠,无电梯,5,八里庄东里北巷,101101543909,3室1厅,392,朝阳,简装,68.0,1981
南北,豆各庄,无电梯,3,扬州水乡,101102600356,3室2厅,820,朝阳,简装,164.0,2004
西南东北,双井,有电梯,22,双花园南里二区,101102424780,3室1厅,849,朝阳,精装,116.0,2002
西南,学院路,有电梯,21,学知轩,101102319029,2室1厅,600,海淀,精装,89.0,2001
南,安宁庄,,11,上林溪,101102717489,1室0厅,380,海淀,精装,44.0,2011
东,万柳,有电梯,10,万泉新新商务花园,101101752286,1室1厅,750,海淀,精装,58.0,2003
南北,田村,有电梯,9,碧森里,101102458134,3室2厅,1020,海淀,简装,132.0,2004
西,北太平庄,,16,庚坊国际,101101374317,1室0厅,360,海淀,简装,47.0,2005
